National Instruments VirtualBench-Scope 2.1.1 Report
Date Created:	10/26/99	3:08:28 PM

USER NAME:	FeederA
COMMENTS:	
START DATA
Time	Ch 0
0.100500	6.365177
0.101000	6.361457
0.101500	6.362077
0.102000	6.360837
0.102500	6.356497
0.103000	6.357117
0.103500	6.355258
0.104000	6.348438
0.104500	6.346578
0.105000	6.345958
0.105500	6.345338
0.106000	6.349058
0.106500	6.346578
0.107000	6.349058
0.107500	6.349678
0.108000	6.350298
0.108500	6.349678
0.109000	6.353397
0.109500	6.356497
0.110000	6.355258
0.110500	6.358357
0.111000	6.358357
0.111500	6.361457
0.112000	6.360837
0.112500	6.362697
0.113000	6.365177
0.113500	6.365797
0.114000	6.367037
0.114500	6.371996
0.115000	6.373236
0.115500	6.377576
0.116000	6.380056
0.116500	6.380676
0.117000	6.384396
0.117500	6.385016
0.118000	6.387496
0.118500	6.391835
0.119000	6.394315
0.119500	6.394935
0.120000	6.397415
0.120500	6.396175
0.121000	6.396175
0.121500	6.398655
0.122000	6.401135
0.122500	6.401135
0.123000	6.404234
0.123500	6.407334
0.124000	6.406095
0.124500	6.409194
0.125000	6.407334
0.125500	6.410434
0.126000	6.408575
0.126500	6.413534
0.127000	6.412294
0.127500	6.412294
0.128000	6.412914
0.128500	6.411054
0.129000	6.405475
0.129500	6.404234
0.130000	6.403615
0.130500	6.401755
0.131000	6.400515
0.131500	6.401135
0.132000	6.399275
0.132500	6.396795
0.133000	6.396795
0.133500	6.394315
0.134000	6.393075
0.134500	6.393075
0.135000	6.389976
0.135500	6.388735
0.136000	6.388115
0.136500	6.385016
0.137000	6.379436
0.137500	6.375716
0.138000	6.376336
0.138500	6.376336
0.139000	6.376956
0.139500	6.373857
0.140000	6.373857
0.140500	6.371996
0.141000	6.369517
0.141500	6.366417
0.142000	6.366417
0.142500	6.368277
0.143000	6.364557
0.143500	6.360837
0.144000	6.362697
0.144500	6.358977
0.145000	6.357117
0.145500	6.351538
0.146000	6.349058
0.146500	6.346578
0.147000	6.344098
0.147500	6.341618
0.148000	6.339139
0.148500	6.339139
0.149000	6.334799
0.149500	6.333559
0.150000	6.332939
0.150500	6.331079
0.151000	6.329839
0.151500	6.330459
0.152000	6.328599
0.152500	6.327979
0.153000	6.327359
0.153500	6.329839
0.154000	6.325499
0.154500	6.326119
0.155000	6.327359
0.155500	6.330459
0.156000	6.334799
0.156500	6.334178
0.157000	6.337898
0.157500	6.339758
0.158000	6.344098
0.158500	6.346578
0.159000	6.351538
0.159500	6.356497
0.160000	6.358977
0.160500	6.362077
0.161000	6.366417
0.161500	6.370137
0.162000	6.368277
0.162500	6.371377
0.163000	6.374476
0.163500	6.376956
0.164000	6.380676
0.164500	6.384396
0.165000	6.386876
0.165500	6.389356
0.166000	6.390595
0.166500	6.394315
0.167000	6.394315
0.167500	6.396795
0.168000	6.398655
0.168500	6.399275
0.169000	6.401135
0.169500	6.401135
0.170000	6.402995
0.170500	6.399895
0.171000	6.399895
0.171500	6.400515
0.172000	6.402375
0.172500	6.401755
0.173000	6.402995
0.173500	6.404234
0.174000	6.404234
0.174500	6.406095
0.175000	6.405475
0.175500	6.406714
0.176000	6.405475
0.176500	6.409814
0.177000	6.407334
0.177500	6.406095
0.178000	6.406095
0.178500	6.404855
0.179000	6.398655
0.179500	6.397415
0.180000	6.396175
0.180500	6.395555
0.181000	6.394935
0.181500	6.391215
0.182000	6.391215
0.182500	6.389976
0.183000	6.388115
0.183500	6.385016
0.184000	6.381296
0.184500	6.381296
0.185000	6.378196
0.185500	6.378816
0.186000	6.372616
0.186500	6.371996
0.187000	6.365177
0.187500	6.362077
0.188000	6.360217
0.188500	6.359597
0.189000	6.358977
0.189500	6.355877
0.190000	6.357117
0.190500	6.354638
0.191000	6.353397
0.191500	6.352777
0.192000	6.350918
0.192500	6.355258
0.193000	6.352158
0.193500	6.350298
0.194000	6.352158
0.194500	6.350298
0.195000	6.350298
0.195500	6.345958
0.196000	6.344718
0.196500	6.345338
0.197000	6.344718
0.197500	6.345958
0.198000	6.347818
0.198500	6.348438
0.199000	6.346578
0.199500	6.350298
0.200000	6.351538
0.200500	6.352158
0.201000	6.356497
0.201500	6.355877
0.202000	6.357737
0.202500	6.360217
0.203000	6.362077
0.203500	6.363317
0.204000	6.361457
0.204500	6.363937
0.205000	6.367037
0.205500	6.371377
0.206000	6.373236
0.206500	6.376956
0.207000	6.380676
0.207500	6.382536
0.208000	6.384396
0.208500	6.387496
0.209000	6.393075
0.209500	6.393695
0.210000	6.396175
0.210500	6.399895
0.211000	6.402375
0.211500	6.404855
0.212000	6.402375
0.212500	6.404855
0.213000	6.404234
0.213500	6.406095
0.214000	6.405475
0.214500	6.408575
0.215000	6.411054
0.215500	6.411674
0.216000	6.412914
0.216500	6.414154
0.217000	6.413534
0.217500	6.414154
0.218000	6.413534
0.218500	6.415394
0.219000	6.414774
0.219500	6.413534
0.220000	6.412914
0.220500	6.409814
0.221000	6.406714
0.221500	6.406714
0.222000	6.408575
0.222500	6.404234
0.223000	6.407954
0.223500	6.406095
0.224000	6.404234
0.224500	6.402995
0.225000	6.400515
0.225500	6.399895
0.226000	6.398655
0.226500	6.399895
0.227000	6.398035
0.227500	6.393695
0.228000	6.390595
0.228500	6.386256
0.229000	6.381296
0.229500	6.376956
0.230000	6.373236
0.230500	6.370137
0.231000	6.365177
0.231500	6.361457
0.232000	6.360217
0.232500	6.355258
0.233000	6.352158
0.233500	6.348438
0.234000	6.342858
0.234500	6.341618
0.235000	6.338519
0.235500	6.335419
0.236000	6.333559
0.236500	6.329219
0.237000	6.324879
0.237500	6.321159
0.238000	6.319300
0.238500	6.317440
0.239000	6.319300
0.239500	6.316200
0.240000	6.318059
0.240500	6.316820
0.241000	6.316820
0.241500	6.314960
0.242000	6.316200
0.242500	6.321779
0.243000	6.319920
0.243500	6.319920
0.244000	6.321159
0.244500	6.323019
0.245000	6.322399
0.245500	6.321779
0.246000	6.321779
0.246500	6.324879
0.247000	6.325499
0.247500	6.327979
0.248000	6.328599
0.248500	6.334178
0.249000	6.335419
0.249500	6.334799
0.250000	6.340998
0.250500	6.342238
0.251000	6.346578
0.251500	6.348438
0.252000	6.350918
0.252500	6.355877
0.253000	6.359597
0.253500	6.363317
0.254000	6.362077
0.254500	6.365797
0.255000	6.370137
0.255500	6.375096
0.256000	6.380676
0.256500	6.383776
0.257000	6.388735
0.257500	6.391835
0.258000	6.394315
0.258500	6.399275
0.259000	6.404234
0.259500	6.408575
0.260000	6.411054
0.260500	6.414774
0.261000	6.418494
0.261500	6.420974
0.262000	6.419114
0.262500	6.420974
0.263000	6.420974
0.263500	6.423453
0.264000	6.425313
0.264500	6.424694
0.265000	6.427794
0.265500	6.428413
0.266000	6.427794
0.266500	6.429033
0.267000	6.427794
0.267500	6.428413
0.268000	6.427173
0.268500	6.425933
0.269000	6.423453
0.269500	6.424074
0.270000	6.422833
0.270500	6.416634
0.271000	6.414154
0.271500	6.414154
0.272000	6.412294
0.272500	6.407954
0.273000	6.409194
0.273500	6.406714
0.274000	6.405475
0.274500	6.402375
0.275000	6.400515
0.275500	6.396795
0.276000	6.394315
0.276500	6.393695
0.277000	6.390595
0.277500	6.385016
0.278000	6.383776
0.278500	6.379436
0.279000	6.371377
0.279500	6.368896
0.280000	6.364557
0.280500	6.361457
0.281000	6.358357
0.281500	6.355877
0.282000	6.355258
0.282500	6.351538
0.283000	6.347818
0.283500	6.347818
0.284000	6.345338
0.284500	6.345338
0.285000	6.340998
0.285500	6.339758
