critical
2101,3
4.51,49.05,3.9
4.52,49.09,3.819
4.53,49.13,3.739
4.54,49.17,3.66
4.55,49.2,3.582
4.56,49.24,3.5
4.57,49.27,3.419
4.58,49.31,3.339
4.59,49.34,3.26
4.6,49.37,3.181
4.61,49.4,3.099
4.62,49.43,3.017
4.63,49.46,2.937
4.64,49.49,2.857
4.65,49.52,2.779
4.66,49.55,2.696
4.67,49.57,2.614
4.68,49.6,2.534
4.69,49.62,2.454
4.7,49.65,2.375
4.71,49.67,2.293
4.72,49.69,2.211
4.73,49.72,2.13
4.74,49.74,2.051
4.75,49.76,1.972
4.76,49.78,1.889
4.77,49.79,1.808
4.78,49.81,1.727
4.79,49.83,1.648
4.8,49.85,1.569
4.81,49.86,1.487
4.82,49.88,1.405
4.83,49.89,1.325
4.84,49.9,1.246
4.85,49.91,1.168
4.86,49.92,1.086
4.87,49.94,1.006
4.88,49.95,0.9262
4.89,49.95,0.8477
4.9,49.96,0.7703
4.91,49.97,0.6899
4.92,49.98,0.6105
4.93,49.98,0.5323
4.94,49.99,0.4551
4.95,49.99,0.379
4.96,49.99,0.4376
4.97,50,0.4953
4.98,50,0.5522
4.99,50.01,0.6083
5,50.02,0.6636
5.01,50.02,0.7205
5.02,50.03,0.7765
5.03,50.04,0.8317
5.04,50.05,0.8862
5.05,50.06,0.9398
5.06,50.07,0.995
5.07,50.08,1.049
5.08,50.09,1.103
5.09,50.1,1.156
5.1,50.11,1.208
5.11,50.12,1.261
5.12,50.14,1.314
5.13,50.15,1.366
5.14,50.16,1.417
5.15,50.18,1.467
5.16,50.19,1.519
5.17,50.21,1.57
5.18,50.22,1.621
5.19,50.24,1.67
5.2,50.26,1.719
5.21,50.27,1.769
5.22,50.29,1.818
5.23,50.31,1.867
5.24,50.33,1.915
5.25,50.35,1.962
5.26,50.37,2.011
5.27,50.39,2.059
5.28,50.41,2.106
5.29,50.43,2.152
5.3,50.45,2.198
5.31,50.48,2.245
5.32,50.5,2.291
5.33,50.52,2.336
5.34,50.55,2.381
5.35,50.57,2.425
5.36,50.59,2.47
5.37,50.62,2.515
5.38,50.64,2.559
5.39,50.67,2.602
5.4,50.7,2.645
5.41,50.72,2.688
5.42,50.75,2.732
5.43,50.78,2.774
5.44,50.81,2.816
5.45,50.83,2.857
5.46,50.86,2.899
5.47,50.89,2.94
5.48,50.92,2.981
5.49,50.95,3.021
5.5,50.98,3.061
5.51,51.01,3.101
5.52,51.04,3.142
5.53,51.08,3.181
5.54,51.11,3.219
5.55,51.14,3.257
5.56,51.17,3.297
5.57,51.21,3.335
5.58,51.24,3.373
5.59,51.27,3.41
5.6,51.31,3.446
5.61,51.34,3.484
5.62,51.38,3.521
5.63,51.41,3.558
5.64,51.45,3.593
5.65,51.48,3.628
5.66,51.52,3.664
5.67,51.56,3.7
5.68,51.59,3.735
5.69,51.63,3.769
5.7,51.67,3.802
5.71,51.71,3.837
5.72,51.75,3.871
5.73,51.79,3.905
5.74,51.82,3.937
5.75,51.86,3.97
5.76,51.9,4.003
5.77,51.94,4.035
5.78,51.99,4.067
5.79,52.03,4.099
5.8,52.07,4.129
5.81,52.11,4.161
5.82,52.15,4.192
5.83,52.19,4.223
5.84,52.23,4.253
5.85,52.28,4.282
5.86,52.32,4.313
5.87,52.36,4.342
5.88,52.41,4.371
5.89,52.45,4.4
5.9,52.5,4.428
5.91,52.54,4.457
5.92,52.58,4.485
5.93,52.63,4.513
5.94,52.67,4.54
5.95,52.72,4.567
5.96,52.77,4.594
