National Instruments VirtualBench-Scope 2.1.1 Report
Date Created:	10/26/99	2:42:07 PM

USER NAME:	50gB
COMMENTS:	zoomed in 
START DATA
Time	Ch 0
0.182500	9.385645
0.183000	9.324888
0.183500	9.237473
0.184000	9.091782
0.184500	8.907652
0.185000	8.716083
0.185500	8.522654
0.186000	8.291407
0.186500	8.038462
0.187000	7.772497
0.187500	7.513351
0.188000	7.250486
0.188500	6.965922
0.189000	6.690038
0.189500	6.430893
0.190000	6.179187
0.190500	5.920662
0.191000	5.668957
0.191500	5.447009
0.192000	5.243661
0.192500	5.035973
0.193000	4.836344
0.193500	4.679493
0.194000	4.551780
0.194500	4.451966
0.195000	4.380050
0.195500	4.334793
0.196000	4.329213
0.196500	4.340992
0.197000	4.380050
0.197500	4.453826
0.198000	4.536281
0.198500	4.616257
0.199000	4.702432
0.199500	4.801626
0.200000	4.909500
0.200500	4.994435
0.201000	5.074410
0.201500	5.174225
0.202000	5.266600
0.202500	5.358354
0.203000	5.444530
0.203500	5.521405
0.204000	5.595801
0.204500	5.658417
0.205000	5.717314
0.205500	5.773111
0.206000	5.815268
0.206500	5.846266
0.207000	5.889044
0.207500	5.940501
0.208000	5.979559
0.208500	6.026056
0.209000	6.061394
0.209500	6.096112
0.210000	6.133310
0.210500	6.166788
0.211000	6.201506
0.211500	6.237464
0.212000	6.270322
0.212500	6.323639
0.213000	6.369517
0.213500	6.406714
0.214000	6.427794
0.214500	6.479250
0.215000	6.514588
0.215500	6.541247
0.216000	6.583405
0.216500	6.633622
0.217000	6.681359
0.217500	6.727856
0.218000	6.792333
0.218500	6.858049
0.219000	6.933064
0.219500	7.004360
0.220000	7.075037
0.220500	7.154392
0.221000	7.230028
0.221500	7.305663
0.222000	7.381299
0.222500	7.464994
0.223000	7.533190
0.223500	7.597046
0.224000	7.660903
0.224500	7.732819
0.225000	7.793575
0.225500	7.855572
0.226000	7.909509
0.226500	7.955386
0.227000	7.995684
0.227500	8.033502
0.228000	8.057060
0.228500	8.067599
0.229000	8.071939
0.229500	8.059540
0.230000	8.034122
0.230500	7.995064
0.231000	7.939267
0.231500	7.872311
0.232000	7.781796
0.232500	7.673302
0.233000	7.553029
0.233500	7.417877
0.234000	7.261646
0.234500	7.109134
0.235000	6.951044
0.235500	6.777453
0.236000	6.606343
0.236500	6.437713
0.237000	6.282722
0.237500	6.130210
0.238000	5.989478
0.238500	5.863626
0.239000	5.747072
0.239500	5.642918
0.240000	5.564803
0.240500	5.485447
0.241000	5.423450
0.241500	5.378813
0.242000	5.349675
0.242500	5.324256
0.243000	5.312477
0.243500	5.312477
0.244000	5.324256
0.244500	5.342855
0.245000	5.367654
0.245500	5.407951
0.246000	5.447629
0.246500	5.491647
0.247000	5.544343
0.247500	5.592701
0.248000	5.642918
0.248500	5.696855
0.249000	5.752032
0.249500	5.806589
0.250000	5.850606
0.250500	5.896483
0.251000	5.942361
0.251500	5.976459
0.252000	6.013657
0.252500	6.049615
0.253000	6.080613
0.253500	6.101692
0.254000	6.129591
0.254500	6.146949
0.255000	6.156249
0.255500	6.168648
0.256000	6.192207
0.256500	6.205226
0.257000	6.210806
0.257500	6.220105
0.258000	6.232504
0.258500	6.241804
0.259000	6.246764
0.259500	6.256683
0.260000	6.270942
0.260500	6.279622
0.261000	6.289541
0.261500	6.303180
0.262000	6.311860
0.262500	6.327979
0.263000	6.345338
0.263500	6.363937
0.264000	6.377576
0.264500	6.394935
0.265000	6.415394
0.265500	6.440193
0.266000	6.458792
0.266500	6.486070
0.267000	6.518308
0.267500	6.545587
0.268000	6.577825
0.268500	6.618742
0.269000	6.661520
0.269500	6.703058
0.270000	6.747695
0.270500	6.806592
0.271000	6.866108
0.271500	6.916945
0.272000	6.980182
0.272500	7.047138
0.273000	7.104175
0.273500	7.164311
0.274000	7.231887
0.274500	7.295124
0.275000	7.347821
0.275500	7.396798
0.276000	7.445775
0.276500	7.481733
0.277000	7.510871
0.277500	7.541250
0.278000	7.566669
0.278500	7.572868
0.279000	7.570388
0.279500	7.564188
0.280000	7.551169
0.280500	7.523891
0.281000	7.484833
0.281500	7.445155
0.282000	7.393698
0.282500	7.319922
0.283000	7.248626
0.283500	7.173611
0.284000	7.091156
0.284500	7.001261
0.285000	6.913846
0.285500	6.830150
0.286000	6.737155
0.286500	6.643541
0.287000	6.557986
0.287500	6.476770
0.288000	6.391835
0.288500	6.313100
0.289000	6.247384
0.289500	6.183527
0.290000	6.120291
0.290500	6.065734
