result
501,3
16.95,0.639,0.2
17,0.649,0.2
17.05,0.659,0.2
17.1,0.669,0.2
17.15,0.679,0.2
17.2,0.689,0.2
17.25,0.699,0.2
17.3,0.709,0.2
17.35,0.719,0.2
17.4,0.729,0.2
17.45,0.739,0.2
17.5,0.749,0.2
17.55,0.759,0.2
17.6,0.769,0.2
17.65,0.779,0.2
17.7,0.789,0.2
17.75,0.799,0.2
17.8,0.809,0.2
17.85,0.819,0.2
17.9,0.829,0.2
17.95,0.839,0.2
18,0.849,0.2
18.05,0.859,0.2
18.1,0.869,0.2
18.15,0.879,0.2
18.2,0.889,0.2
18.25,0.899,0.2
18.3,0.909,0.2
18.35,0.919,0.2
18.4,0.929,0.2
18.45,0.939,0.2
18.5,0.949,0.2
18.55,0.959,0.2
18.6,0.969,0.2
18.65,0.979,0.2
18.7,0.989,0.2
18.75,0.999,0.2
18.8,1.009,0.2
18.85,1.019,0.2
18.9,1.029,0.2
18.95,1.039,0.2
19,1.049,0.2
19.05,1.059,0.2
19.1,1.069,0.2
19.15,1.079,0.2
19.2,1.089,0.2
19.25,1.099,0.2
19.3,1.109,0.2
19.35,1.119,0.2
19.4,1.129,0.2
19.45,1.139,0.2
19.5,1.149,0.2
19.55,1.159,0.2
19.6,1.169,0.2
19.65,1.179,0.2
19.7,1.189,0.2
19.75,1.199,0.2
19.8,1.209,0.2
19.85,1.219,0.2
19.9,1.229,0.2
19.95,1.239,0.2
20,1.249,0.2
20.05,1.253,-0.04689
20.1,1.25,-0.06863
20.15,1.247,-0.05463
20.2,1.244,-0.03926
20.25,1.243,-0.0275
20.3,1.242,-0.01913
20.35,1.241,-0.01328
20.4,1.24,-0.009222
20.45,1.24,-0.006404
20.5,1.24,-0.004449
20.55,1.239,-0.003093
20.6,1.239,-0.002153
20.65,1.239,-0.001501
20.7,1.239,-0.001049
20.75,1.239,-0.000735
20.8,1.239,-0.0005176
20.85,1.239,-0.0003667
20.9,1.239,-0.0002621
20.95,1.239,-0.0001896
21,1.239,-0.0001393
21.05,1.239,-0.0001044
21.1,1.239,-8.023e-005
21.15,1.239,-6.346e-005
21.2,1.239,-5.182e-005
21.25,1.239,-4.375e-005
21.3,1.239,-3.816e-005
21.35,1.239,-3.428e-005
21.4,1.239,-3.159e-005
21.45,1.239,-2.972e-005
21.5,1.239,-2.843e-005
21.55,1.239,-2.753e-005
21.6,1.239,-2.691e-005
21.65,1.239,-2.647e-005
21.7,1.239,-2.617e-005
21.75,1.239,-2.597e-005
21.8,1.239,-2.582e-005
21.85,1.239,-2.572e-005
21.9,1.239,-2.565e-005
21.95,1.239,-2.561e-005
22,1.239,-2.557e-005
22.05,1.239,-2.555e-005
22.1,1.239,-2.553e-005
22.15,1.239,-2.552e-005
22.2,1.239,-2.551e-005
22.25,1.239,-2.551e-005
22.3,1.239,-2.551e-005
22.35,1.239,-2.55e-005
22.4,1.239,-2.55e-005
22.45,1.239,-2.55e-005
22.5,1.239,-2.55e-005
22.55,1.239,-2.55e-005
22.6,1.239,-2.55e-005
22.65,1.239,-2.55e-005
22.7,1.239,-2.55e-005
22.75,1.239,-2.55e-005
22.8,1.239,-2.55e-005
22.85,1.239,-2.55e-005
22.9,1.239,-2.55e-005
22.95,1.239,-2.55e-005
23,1.239,-2.55e-005
23.05,1.239,-2.55e-005
23.1,1.239,-2.55e-005
23.15,1.239,-2.55e-005
23.2,1.239,-2.55e-005
23.25,1.239,-2.55e-005
23.3,1.239,-2.55e-005
23.35,1.239,-2.55e-005
23.4,1.239,-2.55e-005
23.45,1.239,-2.55e-005
23.5,1.239,-2.55e-005
23.55,1.239,-2.55e-005
23.6,1.239,-2.55e-005
23.65,1.239,-2.55e-005
23.7,1.239,-2.55e-005
23.75,1.239,-2.55e-005
23.8,1.239,-2.55e-005
23.85,1.239,-2.55e-005
23.9,1.239,-2.55e-005
23.95,1.239,-2.55e-005
24,1.239,-2.55e-005
24.05,1.239,-2.55e-005
24.1,1.239,-2.55e-005
24.15,1.239,-2.55e-005
24.2,1.239,-2.55e-005
24.25,1.239,-2.55e-005
24.3,1.239,-2.55e-005
24.35,1.239,-2.55e-005
24.4,1.239,-2.55e-005
24.45,1.239,-2.55e-005
24.5,1.239,-2.55e-005
24.55,1.239,-2.55e-005
24.6,1.239,-2.55e-005
24.65,1.239,-2.55e-005
24.7,1.239,-2.55e-005
24.75,1.239,-2.55e-005
24.8,1.239,-2.55e-005
24.85,1.239,-2.55e-005
24.9,1.239,-2.55e-005
24.95,1.239,-2.55e-005
25,1.239,-2.55e-005
