 ASCII output data for Electronics Workbench circuit lpf2.ewb
        Time           V1           V2           V3           V4
       0.167      6.39989      5.72639      5.18001       4.8803
      0.1675      6.39618      5.72947      5.18613      4.88776
       0.168      6.39245      5.73247      5.19221      4.89518
      0.1685       6.3875      5.73534      5.19825      4.90257
       0.169      6.38316      5.73812      5.20424      4.90993
      0.1695       6.3782      5.74079      5.21018      4.91726
        0.17      6.37076       5.7433      5.21607      4.92454
      0.1705       6.3658      5.74571      5.22191       4.9318
       0.171      6.36022        5.748       5.2277      4.93901
      0.1715       6.3565      5.75024      5.23344      4.94619
       0.172      6.35526      5.75248      5.23913      4.95334
      0.1725      6.34968      5.75461      5.24477      4.96045
       0.173      6.34534      5.75667      5.25036      4.96752
      0.1735      6.34038      5.75864      5.25589      4.97455
       0.174      6.33728      5.76058      5.26138      4.98155
      0.1745      6.33232      5.76243      5.26681      4.98851
       0.175       6.3317      5.76432      5.27219      4.99542
      0.1755       6.3286      5.76616      5.27753       5.0023
       0.176      6.32488      5.76796      5.28281      5.00915
      0.1765      6.32116       5.7697      5.28805      5.01595
       0.177      6.32054      5.77147      5.29325      5.02271
      0.1775       6.3162      5.77318      5.29839      5.02944
       0.178       6.3069       5.7747      5.30349      5.03612
      0.1785      6.30504      5.77623      5.30854      5.04276
       0.179      6.30194      5.77773      5.31354      5.04937
      0.1795      6.29884       5.7792      5.31849      5.05593
        0.18      6.29574      5.78065       5.3234      5.06246
      0.1805       6.2945      5.78211      5.32826      5.06894
       0.181      6.29388      5.78361      5.33308      5.07538
      0.1815      6.29264      5.78511      5.33786      5.08178
       0.182      6.29326      5.78668       5.3426      5.08814
      0.1825      6.29202      5.78825       5.3473      5.09447
       0.183      6.29388       5.7899      5.35197      5.10075
      0.1835      6.29016      5.79149       5.3566      5.10699
       0.184      6.29326      5.79319       5.3612      5.11319
      0.1845       6.2945      5.79495      5.36577      5.11935
       0.185      6.29574      5.79677      5.37031      5.12547
      0.1855       6.2976      5.79864      5.37482      5.13155
       0.186      6.29946      5.80058      5.37931      5.13759
      0.1865      6.29822      5.80251      5.38378       5.1436
       0.187      6.30256      5.80455      5.38822      5.14956
      0.1875      6.30628      5.80669      5.39264      5.15549
       0.188      6.31062      5.80893      5.39705      5.16138
      0.1885       6.3131      5.81124      5.40144      5.16724
       0.189      6.31868      5.81366      5.40581      5.17306
      0.1895      6.32426      5.81622      5.41018      5.17884
        0.19      6.33108      5.81891      5.41454      5.18459
      0.1905      6.33728      5.82173       5.4189       5.1903
       0.191      6.34224      5.82463      5.42325      5.19599
      0.1915      6.34906      5.82767       5.4276      5.20164
       0.192      6.35712      5.83085      5.43196      5.20725
      0.1925      6.36828      5.83425      5.43632      5.21284
       0.193        6.372      5.83769      5.44069       5.2184
      0.1935      6.37758      5.84119      5.44506      5.22393
       0.194      6.38626      5.84484      5.44945      5.22943
      0.1945      6.39184      5.84856      5.45384       5.2349
       0.195       6.3968      5.85232      5.45824      5.24035
      0.1955      6.40114      5.85611      5.46266      5.24577
       0.196      6.40795      5.85998      5.46708      5.25117
      0.1965      6.41229      5.86388      5.47152      5.25654
       0.197      6.42221      5.86794      5.47597      5.26189
      0.1975      6.42965      5.87209      5.48043      5.26722
       0.198      6.43399      5.87625       5.4849      5.27253
      0.1985      6.43647      5.88038      5.48939      5.27782
       0.199      6.44267      5.88456      5.49388      5.28309
      0.1995      6.45011      5.88883      5.49839      5.28834
         0.2      6.45445      5.89311      5.50291      5.29358
      0.2005      6.45879       5.8974      5.50745      5.29879
       0.201      6.46065      5.90163      5.51199      5.30399
      0.2015      6.46499      5.90588      5.51654      5.30918
       0.202      6.46995      5.91014       5.5211      5.31434
      0.2025      6.47491      5.91444      5.52566       5.3195
       0.203      6.47429      5.91862      5.53023      5.32464
      0.2035      6.47243      5.92267       5.5348      5.32976
       0.204      6.47057      5.92659      5.53937      5.33488
      0.2045      6.47429      5.93052      5.54393      5.33998
       0.205      6.47739      5.93444       5.5485      5.34506
      0.2055      6.47615      5.93826      5.55305      5.35013
       0.206      6.47491      5.94197       5.5576      5.35519
      0.2065      6.47429       5.9456      5.56214      5.36024
       0.207      6.47243      5.94912      5.56667      5.36528
      0.2075      6.46871       5.9525      5.57118       5.3703
       0.208      6.46499      5.95573      5.57567      5.37531
      0.2085      6.46065      5.95881      5.58014       5.3803
       0.209      6.45011      5.96159      5.58458      5.38529
      0.2095      6.44143      5.96415        5.589      5.39025
        0.21      6.43709      5.96658      5.59337      5.39521
      0.2105      6.43523      5.96896      5.59771      5.40015
       0.211      6.42965      5.97119      5.60202      5.40507
      0.2115      6.41477      5.97306      5.60628      5.40998
       0.212      6.40857       5.9748       5.6105      5.41487
      0.2125      6.40423      5.97645      5.61467      5.41974
       0.213      6.39928        5.978      5.61879       5.4246
      0.2135       6.3937      5.97944      5.62287      5.42943
       0.214      6.38811      5.98078       5.6269      5.43425
      0.2145      6.38811      5.98215      5.63089      5.43905
       0.215      6.38626       5.9835      5.63483      5.44382
      0.2155      6.38068      5.98475      5.63873      5.44857
       0.216      6.37944        5.986      5.64258      5.45331
      0.2165      6.38006      5.98729      5.64639      5.45802
       0.217      6.37758      5.98856      5.65017       5.4627
      0.2175      6.37386      5.98976       5.6539      5.46737
       0.218       6.3689      5.99088      5.65759        5.472
      0.2185      6.36766        5.992      5.66124      5.47662
       0.219      6.36518       5.9931      5.66486      5.48121
      0.2195      6.36022      5.99411      5.66843      5.48578
        0.22      6.34906      5.99489      5.67197      5.49032
      0.2205      6.34224      5.99556      5.67545      5.49483
       0.221      6.33418      5.99608      5.67889      5.49932
      0.2215      6.32798      5.99651      5.68229      5.50379
       0.222      6.32302      5.99688      5.68563      5.50822
      0.2225       6.3131      5.99708      5.68893      5.51263
       0.223       6.3069       5.9972      5.69218      5.51701
      0.2235      6.30318      5.99729      5.69537      5.52136
       0.224      6.29946      5.99738      5.69852      5.52568
      0.2245      6.29326      5.99738      5.70163      5.52997
       0.225      6.28892      5.99735      5.70468      5.53423
      0.2255      6.28272      5.99725      5.70769      5.53846
       0.226      6.28024      5.99716      5.71065      5.54266
      0.2265      6.27838      5.99711      5.71357      5.54683
       0.227      6.27838      5.99712      5.71645      5.55097
      0.2275      6.27962      5.99723      5.71929      5.55507
       0.228      6.27776      5.99736       5.7221      5.55915
      0.2285      6.28086      5.99762      5.72488      5.56319
       0.229      6.28396      5.99801      5.72763       5.5672
      0.2295      6.28892      5.99857      5.73035      5.57118
        0.23      6.29946      5.99941      5.73306      5.57513
      0.2305      6.30504      6.00041      5.73576      5.57905
       0.231      6.30876      6.00151      5.73845      5.58293
      0.2315      6.31372      6.00275      5.74113      5.58679
       0.232      6.31682      6.00406      5.74381      5.59062
      0.2325       6.3255      6.00558      5.74648      5.59442
       0.233      6.33356      6.00728      5.74916       5.5982
      0.2335       6.3379      6.00907      5.75185      5.60194
