control
500,3
24.15,3.95e-017,6.245
24.2,3.95e-017,6.245
24.25,3.95e-017,6.245
24.3,3.95e-017,6.245
24.35,3.95e-017,6.245
24.4,3.95e-017,6.245
24.45,3.95e-017,6.245
24.5,3.95e-017,6.245
24.55,3.95e-017,6.245
24.6,3.95e-017,6.245
24.65,3.95e-017,6.245
24.7,3.95e-017,6.245
24.75,3.95e-017,6.245
24.8,3.95e-017,6.245
24.85,3.95e-017,6.245
24.9,3.95e-017,6.245
24.95,3.95e-017,6.245
