control
500,3
22.05,1.143e-007,6.245
22.1,7.847e-008,6.245
22.15,5.386e-008,6.245
22.2,3.697e-008,6.245
22.25,2.537e-008,6.245
22.3,1.742e-008,6.245
22.35,1.196e-008,6.245
22.4,8.206e-009,6.245
22.45,5.632e-009,6.245
22.5,3.866e-009,6.245
22.55,2.654e-009,6.245
22.6,1.821e-009,6.245
22.65,1.25e-009,6.245
22.7,8.581e-010,6.245
22.75,5.89e-010,6.245
22.8,4.043e-010,6.245
22.85,2.775e-010,6.245
22.9,1.905e-010,6.245
22.95,1.307e-010,6.245
23,8.973e-011,6.245
23.05,6.16e-011,6.245
23.1,4.229e-011,6.245
23.15,2.901e-011,6.245
23.2,1.993e-011,6.245
23.25,1.369e-011,6.245
23.3,9.383e-012,6.245
23.35,6.46e-012,6.245
23.4,4.428e-012,6.245
23.45,3.017e-012,6.245
23.5,2.081e-012,6.245
23.55,1.435e-012,6.245
23.6,9.815e-013,6.245
23.65,6.704e-013,6.245
23.7,4.552e-013,6.245
23.75,3.112e-013,6.245
23.8,2.375e-013,6.245
23.85,1.229e-013,6.245
23.9,1.171e-013,6.245
23.95,9.452e-014,6.245
24,4.824e-015,6.245
24.05,2.439e-016,6.245
24.1,-2.256e-017,6.245
24.15,-2.256e-017,6.245
24.2,-2.256e-017,6.245
24.25,-2.256e-017,6.245
24.3,-2.256e-017,6.245
24.35,-2.256e-017,6.245
24.4,-2.256e-017,6.245
24.45,-2.256e-017,6.245
24.5,-2.256e-017,6.245
24.55,-2.256e-017,6.245
24.6,-2.256e-017,6.245
24.65,-2.256e-017,6.245
24.7,-2.256e-017,6.245
24.75,-2.256e-017,6.245
24.8,-2.256e-017,6.245
24.85,-2.256e-017,6.245
24.9,-2.256e-017,6.245
24.95,-2.256e-017,6.245
